Category,Cost,Description,Eligibility,Monthly,ID,Product Name,Year,Company name
Savings Plan,462239136,Provides savings with guaranteed returns.,Vietnam residents aged 19-62,318011,N065,Manulife Savings Plan Plan 65,25,Manulife
Accident Insurance,2105846500,Accidental death and disability benefits.,Vietnam residents aged 25-51,1624125,N066,Chubb Accident Insurance Plan 66,21,Chubb
Life Insurance,693257947,Comprehensive coverage with flexible options.,Vietnam residents aged 21-54,807096,N067,Generali Life Insurance Plan 67,11,Generali
Investment Linked,1385250804,Linked to market investment returns.,Vietnam residents aged 24-60,1965302,N068,BaoViet Investment Linked Plan 68,13,BaoViet
Travel Insurance,232377743,Covers travel-related risks worldwide.,Vietnam residents aged 25-53,2427007,N069,Chubb Travel Insurance Plan 69,7,Chubb
Investment Linked,610892696,Linked to market investment returns.,Vietnam residents aged 24-55,337070,N070,AIA Investment Linked Plan 70,21,AIA
Life Insurance,568359066,Comprehensive coverage with flexible options.,Vietnam residents aged 24-52,1914939,N071,Chubb Life Insurance Plan 71,15,Chubb
Travel Insurance,2470013183,Covers travel-related risks worldwide.,Vietnam residents aged 19-68,2025453,N072,AIA Travel Insurance Plan 72,24,AIA
Critical Illness,1289619207,Protects against critical illness expenses.,Vietnam residents aged 24-59,2682381,N073,Chubb Critical Illness Plan 73,22,Chubb
Investment Linked,1109710968,Linked to market investment returns.,Vietnam residents aged 19-55,2577982,N074,Prudential Investment Linked Plan 74,10,Prudential
Travel Insurance,1458936810,Covers travel-related risks worldwide.,Vietnam residents aged 20-66,1564101,N075,AIA Travel Insurance Plan 75,25,AIA
Education Plan,845313412,Secures your child's education future.,Vietnam residents aged 25-50,1730331,N076,Generali Education Plan Plan 76,6,Generali
Critical Illness,1248968767,Protects against critical illness expenses.,Vietnam residents aged 24-62,529445,N077,Generali Critical Illness Plan 77,15,Generali
Investment Linked,763014556,Linked to market investment returns.,Vietnam residents aged 20-57,1488751,N078,BaoViet Investment Linked Plan 78,10,BaoViet
Education Plan,1137044286,Secures your child's education future.,Vietnam residents aged 24-66,2773300,N079,Generali Education Plan Plan 79,22,Generali
Education Plan,1958060946,Secures your child's education future.,Vietnam residents aged 25-64,1592822,N080,Manulife Education Plan Plan 80,13,Manulife
Savings Plan,2184009618,Provides savings with guaranteed returns.,Vietnam residents aged 20-55,456778,N081,AIA Savings Plan Plan 81,21,AIA
Life Insurance,1748155487,Comprehensive coverage with flexible options.,Vietnam residents aged 24-53,2213990,N082,BaoViet Life Insurance Plan 82,23,BaoViet
Retirement Plan,220915177,Ensures income security after retirement.,Vietnam residents aged 19-68,2544301,N083,Chubb Retirement Plan Plan 83,9,Chubb
Travel Insurance,1344858530,Covers travel-related risks worldwide.,Vietnam residents aged 21-62,762403,N084,Generali Travel Insurance Plan 84,21,Generali
Investment Linked,2092342157,Linked to market investment returns.,Vietnam residents aged 20-57,926522,N085,Manulife Investment Linked Plan 85,29,Manulife
Critical Illness,1689300287,Protects against critical illness expenses.,Vietnam residents aged 21-64,397727,N086,Generali Critical Illness Plan 86,18,Generali
Education Plan,1493686934,Secures your child's education future.,Vietnam residents aged 24-56,1688044,N087,Manulife Education Plan Plan 87,8,Manulife
Health Insurance,1252607250,Covers hospitalization and medical expenses.,Vietnam residents aged 25-55,2039007,N088,Generali Health Insurance Plan 88,19,Generali
Health Insurance,1911011984,Covers hospitalization and medical expenses.,Vietnam residents aged 20-62,1816220,N089,BaoViet Health Insurance Plan 89,10,BaoViet
Investment Linked,368627805,Linked to market investment returns.,Vietnam residents aged 19-69,1127545,N090,BaoViet Investment Linked Plan 90,30,BaoViet
Health Insurance,2441664974,Covers hospitalization and medical expenses.,Vietnam residents aged 25-68,2587653,N091,Prudential Health Insurance Plan 91,12,Prudential
Investment Linked,2494715937,Linked to market investment returns.,Vietnam residents aged 20-54,2199837,N092,Chubb Investment Linked Plan 92,18,Chubb
Health Insurance,515777923,Covers hospitalization and medical expenses.,Vietnam residents aged 20-62,2366816,N093,Manulife Health Insurance Plan 93,29,Manulife
Life Insurance,496618765,Comprehensive coverage with flexible options.,Vietnam residents aged 21-61,1807705,N094,Manulife Life Insurance Plan 94,16,Manulife
Home Insurance,2106159835,Covers your home and property damage.,Vietnam residents aged 22-51,2193247,N095,Manulife Home Insurance Plan 95,5,Manulife
Health Insurance,1775107959,Covers hospitalization and medical expenses.,Vietnam residents aged 25-67,912353,N096,Chubb Health Insurance Plan 96,29,Chubb
Accident Insurance,1129989817,Accidental death and disability benefits.,Vietnam residents aged 22-50,2000096,N097,Generali Accident Insurance Plan 97,17,Generali
Education Plan,2084807003,Secures your child's education future.,Vietnam residents aged 22-58,1059878,N098,Chubb Education Plan Plan 98,24,Chubb
Investment Linked,2307081260,Linked to market investment returns.,Vietnam residents aged 22-50,2113363,N099,Chubb Investment Linked Plan 99,10,Chubb
Critical Illness,2431791653,Protects against critical illness expenses.,Vietnam residents aged 19-60,889038,N100,Generali Critical Illness Plan 100,16,Generali
Accident Insurance,1228424476,Accidental death and disability benefits.,Vietnam residents aged 23-66,1917939,N101,AIA Accident Insurance Plan 101,20,AIA
Health Insurance,1215782947,Covers hospitalization and medical expenses.,Vietnam residents aged 20-67,1404564,N102,AIA Health Insurance Plan 102,20,AIA
Savings Plan,408566937,Provides savings with guaranteed returns.,Vietnam residents aged 25-53,479946,N103,Prudential Savings Plan Plan 103,18,Prudential
Investment Linked,2244846384,Linked to market investment returns.,Vietnam residents aged 24-67,1887076,N104,Prudential Investment Linked Plan 104,25,Prudential
Investment Linked,1046753399,Linked to market investment returns.,Vietnam residents aged 22-61,307440,N105,AIA Investment Linked Plan 105,17,AIA
Education Plan,1807508167,Secures your child's education future.,Vietnam residents aged 25-53,1186613,N106,Chubb Education Plan Plan 106,19,Chubb
Accident Insurance,1008186075,Accidental death and disability benefits.,Vietnam residents aged 24-55,2815756,N107,Prudential Accident Insurance Plan 107,11,Prudential
Retirement Plan,1214628311,Ensures income security after retirement.,Vietnam residents aged 21-54,1662268,N108,Generali Retirement Plan Plan 108,24,Generali
Savings Plan,294138005,Provides savings with guaranteed returns.,Vietnam residents aged 21-52,532259,N109,Prudential Savings Plan Plan 109,9,Prudential
Travel Insurance,2017829328,Covers travel-related risks worldwide.,Vietnam residents aged 18-64,2158777,N110,Chubb Travel Insurance Plan 110,25,Chubb
Retirement Plan,1070047679,Ensures income security after retirement.,Vietnam residents aged 20-51,2311782,N111,AIA Retirement Plan Plan 111,19,AIA
Investment Linked,1021598882,Linked to market investment returns.,Vietnam residents aged 18-51,361260,N112,BaoViet Investment Linked Plan 112,27,BaoViet
Savings Plan,2412634956,Provides savings with guaranteed returns.,Vietnam residents aged 25-67,2397616,N113,BaoViet Savings Plan Plan 113,26,BaoViet
Health Insurance,1734066034,Covers hospitalization and medical expenses.,Vietnam residents aged 18-56,1098469,N114,Prudential Health Insurance Plan 114,21,Prudential
Investment Linked,438899045,Linked to market investment returns.,Vietnam residents aged 24-55,642438,N115,AIA Investment Linked Plan 115,18,AIA
Home Insurance,143019669,Covers your home and property damage.,Vietnam residents aged 22-64,391217,N116,Prudential Home Insurance Plan 116,19,Prudential
Investment Linked,275233336,Linked to market investment returns.,Vietnam residents aged 21-66,1610487,N117,Chubb Investment Linked Plan 117,5,Chubb
Home Insurance,1553957992,Covers your home and property damage.,Vietnam residents aged 19-54,1039221,N118,Generali Home Insurance Plan 118,15,Generali
Retirement Plan,1426448837,Ensures income security after retirement.,Vietnam residents aged 22-53,2903458,N119,AIA Retirement Plan Plan 119,6,AIA
Health Insurance,286054340,Covers hospitalization and medical expenses.,Vietnam residents aged 20-57,2725352,N120,Manulife Health Insurance Plan 120,14,Manulife
Travel Insurance,1668538141,Covers travel-related risks worldwide.,Vietnam residents aged 18-68,708446,N121,Chubb Travel Insurance Plan 121,9,Chubb
Critical Illness,720475492,Protects against critical illness expenses.,Vietnam residents aged 18-52,2151257,N122,Chubb Critical Illness Plan 122,27,Chubb
Accident Insurance,904352404,Accidental death and disability benefits.,Vietnam residents aged 22-70,2586711,N123,Chubb Accident Insurance Plan 123,23,Chubb
Savings Plan,439499450,Provides savings with guaranteed returns.,Vietnam residents aged 25-61,2329381,N124,Prudential Savings Plan Plan 124,7,Prudential
Education Plan,1148915360,Secures your child's education future.,Vietnam residents aged 23-61,1524438,N125,Generali Education Plan Plan 125,24,Generali
Critical Illness,1343324156,Protects against critical illness expenses.,Vietnam residents aged 20-56,474684,N126,Generali Critical Illness Plan 126,13,Generali
Health Insurance,2294661949,Covers hospitalization and medical expenses.,Vietnam residents aged 22-54,1317396,N127,Chubb Health Insurance Plan 127,21,Chubb
Life Insurance,2066910881,Comprehensive coverage with flexible options.,Vietnam residents aged 21-64,1970449,N128,Prudential Life Insurance Plan 128,5,Prudential
Investment Linked,2234188724,Linked to market investment returns.,Vietnam residents aged 19-63,668425,N129,Chubb Investment Linked Plan 129,14,Chubb
Education Plan,2270220558,Secures your child's education future.,Vietnam residents aged 24-63,963841,N130,AIA Education Plan Plan 130,7,AIA
Home Insurance,1499685993,Covers your home and property damage.,Vietnam residents aged 25-64,2196554,N131,Chubb Home Insurance Plan 131,16,Chubb
Retirement Plan,274081782,Ensures income security after retirement.,Vietnam residents aged 24-51,1234456,N132,Generali Retirement Plan Plan 132,30,Generali
Home Insurance,1570753096,Covers your home and property damage.,Vietnam residents aged 20-69,1884787,N133,BaoViet Home Insurance Plan 133,15,BaoViet
Education Plan,2218152037,Secures your child's education future.,Vietnam residents aged 21-61,2412763,N134,Chubb Education Plan Plan 134,6,Chubb
Critical Illness,603715847,Protects against critical illness expenses.,Vietnam residents aged 21-52,2806300,N135,Prudential Critical Illness Plan 135,14,Prudential
Home Insurance,1361495294,Covers your home and property damage.,Vietnam residents aged 19-67,1658797,N136,Prudential Home Insurance Plan 136,19,Prudential
Health Insurance,1948045094,Covers hospitalization and medical expenses.,Vietnam residents aged 23-65,2946682,N137,BaoViet Health Insurance Plan 137,27,BaoViet
Investment Linked,2352732547,Linked to market investment returns.,Vietnam residents aged 21-60,2764219,N138,Generali Investment Linked Plan 138,29,Generali
Home Insurance,603262830,Covers your home and property damage.,Vietnam residents aged 18-66,2464429,N139,BaoViet Home Insurance Plan 139,22,BaoViet
Accident Insurance,154169374,Accidental death and disability benefits.,Vietnam residents aged 19-60,614309,N140,AIA Accident Insurance Plan 140,23,AIA
Health Insurance,2445984031,Covers hospitalization and medical expenses.,Vietnam residents aged 24-70,1950609,N141,AIA Health Insurance Plan 141,24,AIA
Accident Insurance,910026535,Accidental death and disability benefits.,Vietnam residents aged 24-55,2610567,N142,Generali Accident Insurance Plan 142,20,Generali
Home Insurance,2239746562,Covers your home and property damage.,Vietnam residents aged 22-54,2954175,N143,Manulife Home Insurance Plan 143,16,Manulife
Home Insurance,2001119151,Covers your home and property damage.,Vietnam residents aged 18-60,1164515,N144,BaoViet Home Insurance Plan 144,10,BaoViet
Savings Plan,1709127045,Provides savings with guaranteed returns.,Vietnam residents aged 24-51,996493,N145,Generali Savings Plan Plan 145,14,Generali
Investment Linked,775978053,Linked to market investment returns.,Vietnam residents aged 23-51,2059789,N146,Manulife Investment Linked Plan 146,25,Manulife
Retirement Plan,2276585171,Ensures income security after retirement.,Vietnam residents aged 24-50,1905640,N147,AIA Retirement Plan Plan 147,9,AIA
Retirement Plan,1601910690,Ensures income security after retirement.,Vietnam residents aged 19-66,2302805,N148,Prudential Retirement Plan Plan 148,22,Prudential
Critical Illness,859841123,Protects against critical illness expenses.,Vietnam residents aged 21-63,2488134,N149,Chubb Critical Illness Plan 149,19,Chubb
Life Insurance,1470622126,Comprehensive coverage with flexible options.,Vietnam residents aged 18-66,988792,N150,Manulife Life Insurance Plan 150,15,Manulife
Retirement Plan,126895236,Ensures income security after retirement.,Vietnam residents aged 21-65,605412,N151,Prudential Retirement Plan Plan 151,25,Prudential
Life Insurance,2128026428,Comprehensive coverage with flexible options.,Vietnam residents aged 25-61,1349474,N152,BaoViet Life Insurance Plan 152,11,BaoViet
Travel Insurance,602318584,Covers travel-related risks worldwide.,Vietnam residents aged 25-63,1068160,N153,Manulife Travel Insurance Plan 153,22,Manulife
Health Insurance,727408456,Covers hospitalization and medical expenses.,Vietnam residents aged 18-68,1622628,N154,Manulife Health Insurance Plan 154,13,Manulife
Health Insurance,873913325,Covers hospitalization and medical expenses.,Vietnam residents aged 19-55,1445837,N155,Prudential Health Insurance Plan 155,18,Prudential
Health Insurance,1503577623,Covers hospitalization and medical expenses.,Vietnam residents aged 20-62,1152997,N156,Chubb Health Insurance Plan 156,25,Chubb
Accident Insurance,702366275,Accidental death and disability benefits.,Vietnam residents aged 24-50,359284,N157,AIA Accident Insurance Plan 157,10,AIA
Savings Plan,1302258729,Provides savings with guaranteed returns.,Vietnam residents aged 18-50,380246,N158,Generali Savings Plan Plan 158,15,Generali
Investment Linked,1517781980,Linked to market investment returns.,Vietnam residents aged 22-52,1999032,N159,Generali Investment Linked Plan 159,8,Generali
Savings Plan,1923228650,Provides savings with guaranteed returns.,Vietnam residents aged 21-51,1757380,N160,Prudential Savings Plan Plan 160,17,Prudential
Health Insurance,204639798,Covers hospitalization and medical expenses.,Vietnam residents aged 20-50,2842592,N161,Prudential Health Insurance Plan 161,14,Prudential
Travel Insurance,2367960741,Covers travel-related risks worldwide.,Vietnam residents aged 24-56,2918643,N162,Generali Travel Insurance Plan 162,10,Generali
Home Insurance,1636373447,Covers your home and property damage.,Vietnam residents aged 22-52,1118813,N163,BaoViet Home Insurance Plan 163,18,BaoViet
Home Insurance,466557051,Covers your home and property damage.,Vietnam residents aged 25-58,2644286,N164,Chubb Home Insurance Plan 164,25,Chubb
Home Insurance,485070163,Covers your home and property damage.,Vietnam residents aged 24-62,1048735,N165,BaoViet Home Insurance Plan 165,29,BaoViet
Retirement Plan,2353098198,Ensures income security after retirement.,Vietnam residents aged 18-63,2113804,N166,BaoViet Retirement Plan Plan 166,8,BaoViet
Investment Linked,1124778565,Linked to market investment returns.,Vietnam residents aged 22-65,2021457,N167,BaoViet Investment Linked Plan 167,13,BaoViet
Accident Insurance,908293555,Accidental death and disability benefits.,Vietnam residents aged 20-67,2807965,N168,Generali Accident Insurance Plan 168,23,Generali
Travel Insurance,2213844670,Covers travel-related risks worldwide.,Vietnam residents aged 24-60,2248939,N169,Generali Travel Insurance Plan 169,20,Generali
Accident Insurance,2315064419,Accidental death and disability benefits.,Vietnam residents aged 22-51,2551955,N170,Chubb Accident Insurance Plan 170,19,Chubb
Home Insurance,1695875387,Covers your home and property damage.,Vietnam residents aged 23-51,1014806,N171,Generali Home Insurance Plan 171,5,Generali
Life Insurance,2282134731,Comprehensive coverage with flexible options.,Vietnam residents aged 22-53,2321048,N172,BaoViet Life Insurance Plan 172,9,BaoViet
Life Insurance,1847024870,Comprehensive coverage with flexible options.,Vietnam residents aged 21-65,355387,N173,Chubb Life Insurance Plan 173,5,Chubb
Travel Insurance,2055632421,Covers travel-related risks worldwide.,Vietnam residents aged 25-63,2578981,N174,BaoViet Travel Insurance Plan 174,27,BaoViet
Travel Insurance,1142437350,Covers travel-related risks worldwide.,Vietnam residents aged 20-61,2876313,N175,AIA Travel Insurance Plan 175,27,AIA
Education Plan,102823767,Secures your child's education future.,Vietnam residents aged 24-59,2825520,N176,BaoViet Education Plan Plan 176,22,BaoViet
Savings Plan,329630499,Provides savings with guaranteed returns.,Vietnam residents aged 20-59,2071976,N177,BaoViet Savings Plan Plan 177,22,BaoViet
Health Insurance,2016608190,Covers hospitalization and medical expenses.,Vietnam residents aged 24-62,2542086,N178,Manulife Health Insurance Plan 178,24,Manulife
Accident Insurance,1957915580,Accidental death and disability benefits.,Vietnam residents aged 25-57,1622320,N179,AIA Accident Insurance Plan 179,29,AIA
Health Insurance,1902037694,Covers hospitalization and medical expenses.,Vietnam residents aged 18-55,2551632,N180,Generali Health Insurance Plan 180,14,Generali
Savings Plan,2251011229,Provides savings with guaranteed returns.,Vietnam residents aged 24-56,1951365,N181,AIA Savings Plan Plan 181,25,AIA
Savings Plan,2113571915,Provides savings with guaranteed returns.,Vietnam residents aged 21-57,1247760,N182,Prudential Savings Plan Plan 182,16,Prudential
Savings Plan,1491276198,Provides savings with guaranteed returns.,Vietnam residents aged 18-67,633796,N183,Generali Savings Plan Plan 183,19,Generali
Retirement Plan,1225416103,Ensures income security after retirement.,Vietnam residents aged 25-66,1837720,N184,Prudential Retirement Plan Plan 184,23,Prudential
Accident Insurance,1853927976,Accidental death and disability benefits.,Vietnam residents aged 20-67,1211506,N185,Chubb Accident Insurance Plan 185,28,Chubb
Investment Linked,2076322285,Linked to market investment returns.,Vietnam residents aged 20-66,1231981,N186,Generali Investment Linked Plan 186,28,Generali
Savings Plan,529904710,Provides savings with guaranteed returns.,Vietnam residents aged 20-53,666207,N187,Manulife Savings Plan Plan 187,10,Manulife
Investment Linked,1361766149,Linked to market investment returns.,Vietnam residents aged 25-62,2168413,N188,Manulife Investment Linked Plan 188,21,Manulife
Accident Insurance,826007404,Accidental death and disability benefits.,Vietnam residents aged 21-51,1093134,N189,BaoViet Accident Insurance Plan 189,17,BaoViet
Education Plan,1815440293,Secures your child's education future.,Vietnam residents aged 25-68,1712103,N190,Prudential Education Plan Plan 190,15,Prudential
Travel Insurance,173171527,Covers travel-related risks worldwide.,Vietnam residents aged 19-55,2038834,N191,BaoViet Travel Insurance Plan 191,7,BaoViet
Critical Illness,1069056758,Protects against critical illness expenses.,Vietnam residents aged 24-52,2684013,N192,AIA Critical Illness Plan 192,19,AIA
Health Insurance,2160761361,Covers hospitalization and medical expenses.,Vietnam residents aged 22-55,1780441,N193,Manulife Health Insurance Plan 193,21,Manulife
Life Insurance,1609553762,Comprehensive coverage with flexible options.,Vietnam residents aged 20-50,2054497,N194,BaoViet Life Insurance Plan 194,11,BaoViet
Savings Plan,1225306555,Provides savings with guaranteed returns.,Vietnam residents aged 18-63,1104091,N195,BaoViet Savings Plan Plan 195,16,BaoViet
Travel Insurance,988370099,Covers travel-related risks worldwide.,Vietnam residents aged 20-65,2748041,N196,AIA Travel Insurance Plan 196,13,AIA
Health Insurance,796978121,Covers hospitalization and medical expenses.,Vietnam residents aged 23-63,2050377,N197,Prudential Health Insurance Plan 197,14,Prudential
Home Insurance,186387359,Covers your home and property damage.,Vietnam residents aged 24-66,2599634,N198,BaoViet Home Insurance Plan 198,9,BaoViet
Retirement Plan,444723168,Ensures income security after retirement.,Vietnam residents aged 21-57,2581363,N199,Manulife Retirement Plan Plan 199,6,Manulife
Savings Plan,2473047894,Provides savings with guaranteed returns.,Vietnam residents aged 24-60,1275591,N200,Prudential Savings Plan Plan 200,9,Prudential
